Hash;Count;Manufacturer;Model;Year From;Year To;Horsepower;Fuel Type
f4b19f240850f66dfd8a7e3baa5ca8b20694446937c24614a7bf756238eb07b8;135;Audi;A6;2021;2025;265 hp;Benzin
4f7aba8ac20dd1e7b89e1db7ccf04b819c7fa09de3d41a2ef08cdd1fde1172da;72;Cupra;Leon;2024;2025;333 hp;Benzin
eef812fb16e653f499d9a36e53dbdf34111167424ed2c0542ce6158e6f9315f0;57;Volkswagen;Golf;2023;2025;333 hp;Benzin
0f3144f6521fbd515e93c3c8f9889472222e4c89db54144a5267908576eda180;47;Volkswagen;Golf;2021;2024;320 hp;Benzin
82fce3b4c129e702275dd12ea0ecad3b07f000cb8b7cb0fdd07ffa685946e3ab;42;Mercedes-Benz;C 200;2022;2025;204 hp;Benzin
8298cec7c374c37470e17338fbda08727a70f2321edd15345d88846f0c903d12;41;Mercedes-Benz;C 300;2023;2024;265 hp;Diesel
13a4d3787c84529f0db79f08bea99550e01b873dc1611c4636692a67fa9e0741;37;Mercedes-Benz;C 300;2019;2025;258 hp;Benzin
d3165d82868c31134794c181b0a7746726f8f62fa729994c1449f0c049ed5db3;36;Kia;pro cee'd / ProCeed;2019;2024;204 hp;Benzin
af175a196b5c31279afd3a7767518e5f5368afdacddcddf36737b4217fc562ca;34;Cupra;Leon;2022;2024;310 hp;Benzin
01f927087511f81c2372efb6a6682e4d581b4f5921aa9c15026595c8a2ad9d1a;32;Audi;A6;2022;2025;204 hp;Diesel
d65d2eef8177d4e7e50a4033b1ed68b078a4eea5e8ba172584a69f438ed54c75;27;Mercedes-Benz;C 220;2021;2025;200 hp;Diesel
6c7656c12fc1cb36b54e98064fc3c5fdc2a5200619d08ad6c0ec574ac80dc28d;25;Volkswagen;Passat;2024;2024;200 hp;Diesel
a5203d52ced379b2c25c8cae081f59633ff13bebecbe90487f3bedcb4aea56ce;24;Volkswagen;Arteon;2022;2025;320 hp;Benzin
37ca5b513540d80dc31232400725a36104f6df45d4da9d4f42de004a203ff1fd;24;Audi;A5;2024;2025;204 hp;Benzin
0f88627ddfa09c523ab04babc86c46e825c7593df8ba1552af308c92c5a58268;24;BMW;1er M Coupé;2011;2013;340 hp;Benzin
8e08fa6570d1f0ee7bf034482ca63ea7527668bb38379fd5a6a98ab650a77700;19;Volkswagen;Golf;2022;2024;245 hp;Benzin
47c7925ccca203778ef3a890519a69a5ccb0ceab95a8b6039950a0718e53814a;17;Skoda;Octavia;2024;2025;265 hp;Benzin
bf07cf3a1f567bb09fd9eaf9ee3b0ea73ad2f97a9dfdd31b03d7fb3b5d6face5;17;Ford;Focus;2022;2025;280 hp;Benzin
c83df73c0867afdf6796ba1e6d0372c69138c3625e707e7bbd2412ed6427424a;17;Audi;S4;2022;2024;341 hp;Diesel
f921d0bef4d431099e6a9504847638a20582f451ac98ed99c9caa4971a9591e1;16;Audi;S6;2023;2024;344 hp;Diesel
